geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,15,2,98,0.9323245276109461,3789.564132396356,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,15,3,98,0.9329713531801891,2461.7104473623044,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,15,4,98,0.9891011669774582,115.00396353575182,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,15,5,98,0.9745864915589675,1363.1561215324489,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,15,2,98,0.9359225555591193,11066.144041009453,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,15,3,98,0.9020133697516673,11536.131868920918,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,15,4,98,0.9939635744935046,524.3668973074077,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,15,5,98,0.9782948259266417,10011.533089280827,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01005,15,3,98,0.9319850378924969,2245.5014721492043,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01005,15,5,98,0.9743109399896407,978.626124569276,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01007,15,3,98,0.9528152108439226,2312.332003742498,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01007,15,5,98,0.9827016650285147,242.86127445190527,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01009,15,2,98,0.9578130046858757,1760.270462047723,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01009,15,3,98,0.9541353830553384,4373.983449440622,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01009,15,5,98,0.9829823786844947,351.0823264265843,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01011,15,3,98,0.95194801568936,1148.8011939899823,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01011,15,5,98,0.9822211111393736,137.09628077525596,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,15,2,98,0.9534920389169368,5325.272701348417,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,15,3,98,0.9439538601028756,1442.4665153441051,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,15,4,98,0.9846504094525648,286.8801712488696,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,15,5,98,0.9788437355487775,393.04669322340334,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,15,2,98,0.9278156797637658,488.7325968808149,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,15,3,98,0.8875904290325753,5286.156895760686,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,15,4,98,0.9963700372910659,296.26292762802404,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,15,5,98,0.9980558041819109,1351.8477729887384,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,15,2,98,0.9228465781243665,1357.274310778831,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,15,3,98,0.9250505296491413,2241.9420725300574,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,15,4,98,0.9904891066603982,266.6343502100353,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,15,5,98,0.9719242272192152,844.16966178844,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01019,15,3,98,0.9592643810274346,2751.619046807505,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,15,2,98,0.9504682613005278,5052.113489754561,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,15,3,98,0.9429509284809086,2938.6934669543325,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,15,4,98,0.9860277827296876,420.8711712665405,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,15,5,98,0.9786949029899603,560.1161771475028,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01023,15,3,98,0.95940625033649,1750.900319041466,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01025,15,3,98,0.9594169158664495,3178.0717179239477,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01025,15,5,98,0.9851152439634666,0.6471989897275477,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01027,15,3,98,0.9592709745819484,1307.2682875687542,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01029,15,2,98,0.9613106586138345,4374.509149097232,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01029,15,3,98,0.9560527605020985,1389.5560417797587,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01031,15,3,98,0.9361642985187624,3669.802309649792,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01031,15,5,98,0.9757237132845166,1382.1644433109288,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01033,15,3,98,0.9336322147583871,4885.716286139328,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01033,15,5,98,0.974937434933822,1991.4872734011108,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01035,15,2,98,0.9612730001526727,3574.071133949539,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01035,15,3,98,0.9564997328962516,1616.3244385910739,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01037,15,3,98,0.9589008563605026,2101.8856532717537,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
