geoid,by,pollutant,adjr,sigma,df.residual,formula
d01001,16,98,0.9515766872405539,7167.719239676722,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,16,98,0.9634874782962456,28553.611286350402,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01005,16,98,0.9571353278666862,2980.86495256283,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01007,16,98,0.9593061460127924,2491.3974328581203,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01009,16,98,0.9578085886987436,6414.653802110077,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01011,16,98,0.9592931844351269,1249.2968907136064,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,16,98,0.953523567080429,7564.1895843465845,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,16,98,0.9872960945380099,5860.74998124133,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,16,98,0.9476365368045554,4636.218202396735,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01019,16,98,0.9592643810274346,2751.619046807505,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,16,98,0.9527985303985633,9007.608883091416,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01023,16,98,0.95940625033649,1750.900319041466,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01025,16,98,0.9594315826732772,3178.4717461904047,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01027,16,98,0.9592709745819484,1307.2682875687542,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01029,16,98,0.9715573072984496,4845.240118136337,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01031,16,98,0.9576222929781775,4716.133983608023,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01033,16,98,0.9571535099088698,6388.057398256904,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01035,16,98,0.9650710772112658,4815.582249238318,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01037,16,98,0.9592901188200468,2109.191893755783,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01039,16,98,0.959361400729483,4352.370036308804,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01041,16,98,0.9593982762476649,1903.5562405964235,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01043,16,98,0.948720303195232,11999.998216203812,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01045,16,98,0.9631083356142577,5153.113845510838,5,"vmt + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
