geoid,by,pollutant,adjr,sigma,df.residual,formula
d01001,16,98,0.9831568852800698,4227.318208878565,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01003,16,98,0.9881322035673283,16278.904412087513,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01005,16,98,0.9755011854145061,2253.539024666667,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01007,16,98,0.9707481516813822,2112.2983401711385,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01009,16,98,0.970745787468528,5341.4036919176615,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01011,16,98,0.9711204397038089,1052.270469410299,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01013,16,98,0.979897607085088,4974.734295077827,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01015,16,98,0.982830964457277,6813.300095034766,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01017,16,98,0.9806590520895497,2817.659854969775,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01019,16,98,0.9615566306246958,2673.079463456706,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01021,16,98,0.9796702065533867,5911.507479285249,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01023,16,98,0.9616661499812982,1701.465145287198,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01025,16,98,0.9616406158534458,3090.7233680552395,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01027,16,98,0.9615648989466014,1269.921074627788,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01029,16,98,0.956562043214809,5987.763579685749,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01031,16,98,0.9749823711702031,3623.6019117411097,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01033,16,98,0.9751667156318689,4863.268696028552,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01035,16,98,0.9577669123691669,5295.20314008301,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01037,16,98,0.9626328812693602,2020.7425303992654,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01039,16,98,0.9720135315831555,3611.8565718577734,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01041,16,98,0.961500445579925,1853.6226524020858,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01043,16,98,0.9800762881947553,7479.86195284441,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01045,16,98,0.9782220519532301,3959.26063010457,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01047,16,98,0.9753218390056863,2891.97241308165,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01049,16,98,0.9743789942953279,6656.767822962277,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01051,16,98,0.9770541086244146,5861.047961324994,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01053,16,98,0.9811983827809861,4407.213573978953,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01055,16,98,0.989589325046442,4635.296333483883,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01057,16,98,0.9613200179859248,1632.7585840730649,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01059,16,98,0.9735240220479483,2346.5352520208526,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01061,16,98,0.9630591293343546,2798.2280175827054,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01063,16,98,0.9574685270682737,4843.561101729238,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01065,16,98,0.9615941926363322,1775.8013985550251,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01067,16,98,0.9616214865647555,2722.818293829246,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
