geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,14,1,98,0.9914147270026301,2291.423614441145,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01001,14,2,98,0.9967927476440468,1261.508706979951,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01001,14,3,98,0.9998990150553324,10.351915142775697,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01001,14,5,98,0.9996027465387427,1.2305225489645153,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01003,14,1,98,0.9887913624839278,13740.019420540142,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01003,14,2,98,0.9964331185323967,5600.135865746135,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01003,14,3,98,0.9999047663944562,47.55100127094511,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01003,14,5,98,0.9992459496306585,8.647215563366737,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01005,14,1,98,0.9915180214546797,1252.2287314233538,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01005,14,2,98,0.9943779623221913,644.4688058377112,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01005,14,3,98,0.9999169347648681,4.756370292200263,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01005,14,5,98,0.9994878962712752,0.7567373527997426,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01007,14,1,98,0.9937898985204517,841.0640588543622,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01007,14,2,98,0.9934490371351825,635.522262084278,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01007,14,3,98,0.9999175864533318,4.133421015778799,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01007,14,5,98,0.9993427703718862,0.6996563987982131,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01009,14,1,98,0.9938274312801878,1848.8700887024577,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01009,14,2,98,0.9959767952370188,1343.4393581473964,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01009,14,3,98,0.999907455557636,10.146768969811818,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01009,14,5,98,0.9980685300734479,2.6726850869042287,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01011,14,1,98,0.9937256224446365,426.2817594004387,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01011,14,2,98,0.9935190612783837,315.31814449939026,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01011,14,3,98,0.9999175409875716,2.0674695394359537,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01011,14,5,98,0.9995294046394201,0.29783387566205743,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01013,14,1,98,0.9914190871639723,1986.3428651237916,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01013,14,2,98,0.9975909928542676,1283.363074547929,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01013,14,3,98,0.9998768890759991,10.967890260441491,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01013,14,5,98,0.9990542519041686,1.6964200804096095,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01015,14,1,98,0.9863649262584064,6008.25470148073,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01015,14,2,98,0.9949092985692735,2143.3672440411465,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01015,14,3,98,0.9999127377940652,17.037866880250625,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01015,14,5,98,0.9994924399062274,2.753124235148232,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01017,14,1,98,0.9902299292591747,1668.6379689714643,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01017,14,2,98,0.9961230728063074,827.341247212295,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01017,14,3,98,0.9999046103099669,6.6122403872324895,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01017,14,5,98,0.9997606241472031,0.6477813568145122,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01019,14,1,98,0.992863657202557,941.0518659712953,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01019,14,2,98,0.9940802291013981,683.8625027694083,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01019,14,3,98,0.9999181704469958,4.54698166933291,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01019,14,5,98,0.9978688182565112,1.3443796763072813,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01021,14,1,98,0.9919348341630588,2508.1670417422183,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01021,14,2,98,0.997336476136047,1541.9936420785596,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01021,14,3,98,0.9998898337635328,13.108676685920987,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01021,14,5,98,0.9990246888561618,2.2305368740577927,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01023,14,1,98,0.9929012461653202,598.3131547042993,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01023,14,2,98,0.9940751147619206,433.8372178393909,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01023,14,3,98,0.9999183390062186,2.8779492528864585,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01023,14,5,98,0.9977833181385173,0.8740036417334391,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01025,14,1,98,0.9922453940207404,1135.737452063112,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01025,14,2,98,0.9940728023280604,786.9315066365821,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01025,14,3,98,0.999918151069126,5.224532481690166,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01025,14,5,98,0.9971487660901942,1.8001478515550011,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01027,14,1,98,0.9928892783210385,446.3161200976256,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01027,14,2,98,0.9940692488079814,325.22271610208134,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01027,14,3,98,0.9999169484927091,2.1764684097567266,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01027,14,5,98,0.9977898850556318,0.6504765466363421,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01029,14,1,98,0.9905800026908341,1525.2193018348628,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01029,14,2,98,0.9802662490297445,3079.314677395708,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01029,14,3,98,0.9998958974656222,8.049029313627036,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01029,14,5,98,0.9999700416343001,0.2273684176007628,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01031,14,1,98,0.9918903802625886,1925.473161275457,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01031,14,2,98,0.9942681534994058,1039.6454259389052,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01031,14,3,98,0.9999169850228466,7.541509370252329,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01031,14,5,98,0.9995715935146418,1.094538460844148,2,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01033,14,1,98,0.9916266279647022,2657.067299647335,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
d01033,14,2,98,0.9943375216787641,1401.6663514033032,5,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + starts + year"
