geoid,by,pollutant,adjr,sigma,df.residual,formula
d01001,16,98,0.943140646711479,7767.024853889711,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01003,16,98,0.9427772817335366,35745.7464963332,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01005,16,98,0.9464988823248014,3330.2280552386037,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01007,16,98,0.955724793626731,2598.7164675350646,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01009,16,98,0.9550840230358296,6618.531213557885,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01011,16,98,0.9553667691821968,1308.1611786504018,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01013,16,98,0.9500620551977538,7840.8174637051525,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01015,16,98,0.9784418645294471,7634.668183287557,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01017,16,98,0.9389279709709533,5006.922408169733,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01019,16,98,0.9588689053798769,2764.943625426165,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01021,16,98,0.9490949742194881,9354.31717096252,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01023,16,98,0.9590103426056837,1759.4178001893408,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01025,16,98,0.9590428270354716,3193.6646323469354,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01027,16,98,0.9588742049334771,1313.6203580317012,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01029,16,98,0.9715292545562294,4847.628935103832,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01031,16,98,0.948229451636706,5212.652697568438,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01033,16,98,0.9470553165335821,7101.046593508171,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01035,16,98,0.9651385677647777,4810.927604408888,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01037,16,98,0.958701430329452,2124.3872265733694,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01039,16,98,0.9547125496791198,4594.575388902967,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01041,16,98,0.9590220278743864,1912.355846520353,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01043,16,98,0.941446606507013,12822.847936310938,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01045,16,98,0.9450332419948814,6290.072830345835,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01047,16,98,0.9468185298173304,4245.393188982209,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01049,16,98,0.951043463390215,9201.75501129607,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01051,16,98,0.9406294820765962,9427.753684851561,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01053,16,98,0.9451698132913031,7526.210415324115,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01055,16,98,0.9975690813716576,2239.8723624558584,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01057,16,98,0.9588691055363662,1683.6930570423995,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01059,16,98,0.9514130652756191,3178.782607258973,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01061,16,98,0.9590460662939522,2946.302597064155,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01063,16,98,0.9702187801722295,4053.0392758065514,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01065,16,98,0.9589352373107096,1836.244900767936,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01067,16,98,0.9591672071126258,2808.5303957951924,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01069,16,98,0.9508733048630738,11332.397682010916,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01071,16,98,0.9513560669168444,6642.328331095012,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01073,16,98,0.973378748010745,48846.00611640092,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01075,16,98,0.9588569677944847,1370.4936258049581,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01077,16,98,0.9430528892591198,8095.1842903810775,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01079,16,98,0.9587828099216477,4822.403110518498,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01081,16,98,0.9883069137744994,7124.093966978275,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01083,16,98,0.9319736695455527,15427.735094852349,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01085,16,98,0.96174858525508,4722.219063332782,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01087,16,98,0.9471622175291055,7210.214791001811,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01089,16,98,0.9800389525270201,20665.14658136912,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01091,16,98,0.9544803432513116,2763.8011708540525,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01093,16,98,0.9597243853709235,5390.800798696144,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01095,16,98,0.9595931505310666,7028.5088264887645,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01097,16,98,0.9841554337501321,22155.115607463373,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01099,16,98,0.959071186109682,2349.414954752273,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01101,16,98,0.9874097803717954,12690.57462178596,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01103,16,98,0.9448792151645213,14041.129980715983,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01105,16,98,0.9589120711888863,983.0275621616344,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01107,16,98,0.9588662327996285,2402.114488410054,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01109,16,98,0.9481343614758521,4901.49499439569,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01111,16,98,0.9588775735802,2094.9777673878334,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01113,16,98,0.9422788540860397,7221.4411090418735,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01115,16,98,0.9389621655923143,15028.8251513216,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01117,16,98,0.9893163754514804,9073.578282733492,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01119,16,98,0.961649965928191,4409.6682301871415,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01121,16,98,0.939045042648769,12228.197936562216,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01123,16,98,0.9505802041436401,4994.495135108811,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01125,16,98,0.980319491617861,16372.327320390505,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01127,16,98,0.9467933969401702,9389.83731745028,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01129,16,98,0.9591386929546266,2803.04534415456,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01131,16,98,0.9590167112676272,1603.12899359036,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01133,16,98,0.9588694170461147,2136.622812942107,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02013,16,98,0.9569286853521263,5.3490860527401445,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02016,16,98,0.9597012951556626,56.98171061239468,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02020,16,98,0.9738469685189437,12135.780561399642,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02050,16,98,0.959315861569235,134.29395841046107,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02068,16,98,0.9560232661927743,811.6216991952451,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02070,16,98,0.9592142338583639,85.50501597277366,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02090,16,98,0.9934349469245541,2271.5708712434175,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02100,16,98,0.9593300150300649,80.20780353651163,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02105,16,98,0.9592624428596074,33.91770914333773,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02110,16,98,0.9932939429581659,685.4496586060312,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d02122,16,98,0.9551903877804868,6843.892768143745,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
