geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,14,1,98,0.9701135826703292,4275.286839726813,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01001,14,2,98,0.9951954962535186,1544.002339869993,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01001,14,3,98,0.9998838089769955,11.10398010867853,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01001,14,5,98,0.9979910980293701,2.7671653054221466,2,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01003,14,1,98,0.9798330258157322,18430.253361510633,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01003,14,2,98,0.9953221232633171,6413.256527476395,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01003,14,3,98,0.9998954894969623,49.81320918215421,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01003,14,5,98,0.9978016118119839,14.764824798679214,2,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01005,14,1,98,0.9701336477547525,2349.774414908926,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01005,14,2,98,0.9948032255857219,619.6150496672944,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01005,14,3,98,0.9999016652741773,5.175108554663099,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01005,14,5,98,0.9980339711361321,1.4827268333074137,2,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01007,14,1,98,0.9775207108548828,1600.188013571051,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01007,14,2,98,0.9931734947032688,648.7500663833479,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01007,14,3,98,0.9998943718159985,4.679508577745857,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01007,14,5,98,0.9982241869788541,1.150071554229772,2,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01009,14,1,98,0.9787963146679636,3426.723831040475,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01009,14,2,98,0.9940635412334764,1631.9082084401985,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01009,14,3,98,0.99988634687365,11.244581435060661,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01009,14,5,98,0.9981745177571557,2.598319912084852,2,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01011,14,1,98,0.9760354441532079,833.0980491703536,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01011,14,2,98,0.9932783587749898,321.120231778234,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01011,14,3,98,0.9998945873352358,2.337579829646875,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01011,14,5,98,0.998235524838115,0.5767107501232127,2,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01013,14,1,98,0.9665760598914821,3920.2728216857977,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01013,14,2,98,0.996630371968238,1517.824212702394,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01013,14,3,98,0.9998608395238209,11.66091834094365,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01013,14,5,98,0.997910857200058,2.5213302246922056,2,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01015,14,1,98,0.985776712861838,6136.4836051378115,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01015,14,2,98,0.9956224307550852,1987.5784913959028,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01015,14,3,98,0.9999052261023688,17.75605566091268,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01015,14,5,98,0.9977010970493091,5.859254926008347,2,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01017,14,1,98,0.9726051685759428,2794.136274463884,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
d01017,14,2,98,0.9950837782800277,931.6581439222792,5,"poly(vmt, 2) + poly(vehicles, 2) + sourcehours + poly(starts, 2) + year"
