geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,14,1,98,0.9949845673701744,1751.3886471734697,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01001,14,2,98,0.9973778340309003,1140.6535969835443,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01001,14,3,98,0.999869151344178,11.783573638988267,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01001,14,5,98,0.9994271311592342,1.4776899919373274,2,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01003,14,1,98,0.9949678773668844,9206.330094155377,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01003,14,2,98,0.9969808463157748,5152.248899966311,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01003,14,3,98,0.9998801306029348,53.34807009528135,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01003,14,5,98,0.9994202765120499,7.582048449176187,2,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01005,14,1,98,0.9948952628802066,971.4529475070798,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01005,14,2,98,0.9944684690014869,639.2602501715949,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01005,14,3,98,0.9998920854529066,5.421332007482658,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01005,14,5,98,0.999438103277693,0.7926737049831535,2,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01007,14,1,98,0.9949099451319663,761.4492409218205,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01007,14,2,98,0.9944404413497502,585.4615222469318,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01007,14,3,98,0.9998835809489675,4.912724029560147,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01007,14,5,98,0.9993218988769073,0.7106789885066253,2,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01009,14,1,98,0.9948878909621022,1682.5713272629175,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01009,14,2,98,0.9967850227139874,1200.939013798267,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01009,14,3,98,0.9998659480704865,12.212065793068943,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01009,14,5,98,0.9992365280163342,1.6803523882048534,2,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01011,14,1,98,0.994880192798059,385.06870890320204,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01011,14,2,98,0.9943654058392595,294.00947402123467,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01011,14,3,98,0.9998842343450525,2.449683188115372,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
