geoid,by,pollutant,adjr,sigma,df.residual,formula
d01001,16,98,0.9886669264600093,3467.5887910787687,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01003,16,98,0.9860389259592055,17656.293686494002,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01005,16,98,0.9890470199107577,1506.8107046703117,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01007,16,98,0.9924787757101738,1071.0823711283338,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01009,16,98,0.9930322081909893,2606.806403203689,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01011,16,98,0.9922777460647878,544.1318327287061,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01013,16,98,0.9933979389231455,2850.9249179647636,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01015,16,98,0.985531025450384,6254.656225786041,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01017,16,98,0.9885178164511329,2171.010526557507,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01019,16,98,0.9818153631206462,1838.4569458577362,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01021,16,98,0.9926067929981917,3564.9069077527365,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01023,16,98,0.9818747919931251,1169.966258298981,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01025,16,98,0.9812223312838694,2162.445441901514,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01027,16,98,0.9819591639482098,870.0436601818279,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01029,16,98,0.966762194322883,5237.766361018462,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01031,16,98,0.9892893488573047,2370.9661012406996,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01033,16,98,0.9892136200807699,3205.155029643551,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01035,16,98,0.98995120216413,2582.9337282432703,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01037,16,98,0.9855681298052431,1255.8202540683499,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01039,16,98,0.9916053574353787,1978.1423968642978,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01041,16,98,0.98017489888435,1330.1517253271618,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01043,16,98,0.9892268501519029,5500.216789966509,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01045,16,98,0.9875660689270859,2991.6435070292778,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01047,16,98,0.9890718581238138,1924.4689640620702,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01049,16,98,0.9920125032992783,3716.812637098529,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01051,16,98,0.9875161154385571,4323.123881241641,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01053,16,98,0.989432776498579,3304.052505328911,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01055,16,98,0.9875900700586113,5060.841374362992,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01057,16,98,0.9805431536258545,1158.0173570118347,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01059,16,98,0.9904546032484902,1408.9580731156443,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01061,16,98,0.9864230520635042,1696.4091779205091,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01063,16,98,0.9765568857736722,3595.9796300239605,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01065,16,98,0.982335754738808,1204.324404787556,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01067,16,98,0.9806657197867995,1932.5849351285822,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01069,16,98,0.9872767137789562,5767.169033051611,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01071,16,98,0.9904759622487449,2939.114815258347,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01073,16,98,0.9634433788577154,57239.765423197,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01075,16,98,0.9806238934993835,940.5072085998075,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01077,16,98,0.9882275738469681,3680.6445646790553,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01079,16,98,0.9841270371306153,2992.632033713195,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01081,16,98,0.9848733343288706,8102.8288775815445,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01083,16,98,0.9870073436466571,6742.3707025507865,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01085,16,98,0.9644496610544889,4552.4402220116735,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01087,16,98,0.9931045234955275,2604.702054999713,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01089,16,98,0.9838116341550314,18610.0839258514,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01091,16,98,0.9916533476009041,1183.4869432138503,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01093,16,98,0.9546010780947373,5723.411417563559,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01095,16,98,0.9872633265760411,3946.0601995050315,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01097,16,98,0.9875260692373073,19657.826957218535,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01099,16,98,0.9800858106218818,1638.801926171104,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01101,16,98,0.9887843063281341,11977.817829766343,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01103,16,98,0.9855963040424087,7177.634445535368,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01105,16,98,0.9814300939762878,660.8660211722204,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01107,16,98,0.9802295840519686,1665.3378889995233,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01109,16,98,0.9893619932488761,2219.825468301107,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01111,16,98,0.9803514806195979,1448.1213854734287,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01113,16,98,0.9881112532647264,3277.3621928127195,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
d01115,16,98,0.9903557181180274,5973.934013182511,5,year + vmt + sourcehours + vehicles + starts + year * vmt + year * sourcehours + vmt * sourcehours
