geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,12,10,98,0.999019599124036,15.904644980559095,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,12,20,98,0.9951939265519494,1439.676992720424,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,12,30,98,0.9944857812099032,1695.8369792188887,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,12,41,98,0.9981015645176139,198.60190182380737,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,12,42,98,0.9998983227011634,30.307916352591633,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,12,46,98,0.9975141390401939,185.41243076745658,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,12,47,98,0.9937098560205121,1105.881670665864,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,12,48,98,0.9823049974691925,36.689827640118004,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,12,49,98,0.9999883672590084,3.905948929307408,2,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,12,10,98,0.9996705460024289,45.1625656608645,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,12,20,98,0.9962198099970038,6889.774632434723,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,12,30,98,0.9946346354889114,8566.680295125307,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,12,41,98,0.9984054470865794,898.8266101174895,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,12,42,98,0.9994582556405169,318.9543752636546,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
