geoid,by,pollutant,adjr,sigma,df.residual,formula
d01001,16,98,0.993654503519409,2594.6963492162736,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,16,98,0.9942694524125838,11311.968590566245,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01005,16,98,0.9932849377413334,1179.824932350723,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01007,16,98,0.9897251742424772,1251.889031239393,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01009,16,98,0.9893783204596829,3218.5317181279015,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01011,16,98,0.9901170882570941,615.5658989916209,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,16,98,0.9916556727620636,3205.10066804181,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,16,98,0.9947102464007463,3781.8324988013487,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,16,98,0.9930970870638832,1683.3169038439996,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01019,16,98,0.9708585614612172,2327.3228867638404,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,16,98,0.9919306053261784,3724.365019600821,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01023,16,98,0.9709688841150338,1480.688495161245,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01025,16,98,0.9707198262327175,2700.2945979923784,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01027,16,98,0.970917579108606,1104.6583877964208,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01029,16,98,0.962064781545851,5595.659050242347,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01031,16,98,0.9930177005527503,1914.3292835930204,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01033,16,98,0.9931070166592648,2562.210452892654,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01035,16,98,0.951194364743754,5692.344738029195,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01037,16,98,0.9746887393668244,1663.1180003270638,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01039,16,98,0.990927630561675,2056.4436332595706,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01041,16,98,0.9702203072682907,1630.2476496710703,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01043,16,98,0.9929079927960861,4462.65220063259,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01045,16,98,0.9944379431328351,2000.890513254821,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01047,16,98,0.99319448921433,1518.6864306921095,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01049,16,98,0.9911869465494931,3904.1682491514994,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01051,16,98,0.9936394925203276,3085.806520684125,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01053,16,98,0.9933054527540153,2629.8265106893455,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01055,16,98,0.99474536289391,3293.1341635033823,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01057,16,98,0.9699969542178427,1438.008709150883,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01059,16,98,0.9921279169758387,1279.5165584187505,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01061,16,98,0.9753849099574389,2284.179615569121,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01063,16,98,0.9566121632080762,4892.0802209034155,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01065,16,98,0.9709570018725147,1544.2466486065005,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01067,16,98,0.9703709920529093,2392.396402909071,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01069,16,98,0.9946947689857495,3724.0472443481694,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01071,16,98,0.9921462331381784,2668.9780395405846,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01073,16,98,0.9940296666500852,23132.049422407545,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01075,16,98,0.970286105884049,1164.6854710112511,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01077,16,98,0.9937483047696208,2682.1915611944223,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01079,16,98,0.9730616311056646,3898.6115774993027,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01081,16,98,0.9944165486580521,4922.848050341438,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01083,16,98,0.9939485194047166,4601.447521978686,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01085,16,98,0.9560593099019563,5061.226992847454,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01087,16,98,0.9918705493770792,2828.176504329911,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01089,16,98,0.9942661957169417,11075.625403590986,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01091,16,98,0.9908788175441445,1237.1799663093238,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01093,16,98,0.9621250077615631,5227.673698729677,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01095,16,98,0.9948548512371099,2508.041207650872,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
