geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,15,2,98,0.8603661999489804,5443.382990474958,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,15,3,98,0.970151132046384,1642.7469714424074,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,15,4,98,0.9873460422912641,123.9184573059502,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01001,15,5,98,0.9926818294791528,731.5003662462311,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,15,2,98,0.9326482544663434,11345.356715453823,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,15,3,98,0.9708428297372727,6292.880532879171,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,15,4,98,0.9887500658814826,715.8472059356906,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01003,15,5,98,0.9931939501849847,5606.173216598971,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01005,15,3,98,0.9710835554892245,1464.1432174988138,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01005,15,5,98,0.9928627173188418,515.8330298273756,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01007,15,3,98,0.970859671130226,1817.173542860244,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01007,15,5,98,0.992653131763872,158.27314925193159,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01009,15,2,98,0.8544342279358889,3269.7890728661773,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01009,15,3,98,0.9704789921867296,3509.1654104953973,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01009,15,5,98,0.992642141787699,230.85285354462263,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01011,15,3,98,0.9703375049979724,902.5952714672194,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01011,15,5,98,0.9926674745216497,88.0440792368042,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,15,2,98,0.8326885088113769,10100.458467825343,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,15,3,98,0.9703060625500962,1049.9455612918555,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,15,4,98,0.9852842254655683,280.89479807906986,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01013,15,5,98,0.9927188532820382,230.58154482022582,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,15,2,98,0.9269819573363588,491.5469028049087,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,15,3,98,0.9708302282189656,2692.8050902475356,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,15,4,98,0.9896471854979513,500.32873336388934,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01015,15,5,98,0.9941422941860742,2346.505443112011,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,15,2,98,0.9330372024540057,1264.4650433277864,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,15,3,98,0.9701703517061163,1414.373691200182,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,15,4,98,0.9880683497551808,298.6453106902361,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01017,15,5,98,0.9928775184949654,425.1865772570989,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01019,15,3,98,0.9708585614612172,2327.3228867638404,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,15,2,98,0.8210982133028699,9601.490361161646,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,15,3,98,0.970546987040836,2111.518356976557,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,15,4,98,0.9863216545716174,416.42164642287975,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01021,15,5,98,0.9926773427965462,328.37547195759413,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01023,15,3,98,0.9709688841150338,1480.688495161245,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01025,15,3,98,0.9705405148882575,2707.7199533018575,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01025,15,5,98,0.992706241821204,0.453046365221492,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01027,15,3,98,0.970917579108606,1104.6583877964208,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01029,15,2,98,0.8726202527725111,7937.502081329553,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01029,15,3,98,0.9707886774337161,1132.885131229715,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01031,15,3,98,0.9702726312367322,2504.3157643792065,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01031,15,5,98,0.9928944416196619,747.7694073158907,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01033,15,3,98,0.9705815211329045,3252.817425614308,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01033,15,5,98,0.9927614252240944,1070.2649653446126,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01035,15,2,98,0.868632292367608,6582.6471436494185,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01035,15,3,98,0.9703029343926656,1335.4860221330603,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01037,15,3,98,0.9706059781895898,1777.5515546057816,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01037,15,5,98,0.9925807829766037,8.095803963520256,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01039,15,3,98,0.9706256594316238,3012.4437286349503,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
d01039,15,5,98,0.9927165695529453,368.52495402024414,5,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + poly(starts, 2) + year"
