geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,12,10,98,0.9991693287956566,14.639852862372193,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,12,20,98,0.9950055274733196,1467.6235662658753,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,12,30,98,0.9953813168402553,1552.0338524116298,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,12,41,98,0.9974032629243679,232.27339681061778,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,12,42,98,0.9997778190135708,44.80201273429486,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,12,46,98,0.9975535606383898,183.93638993526162,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,12,47,98,0.993048172628302,1162.5934084321466,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,12,48,98,0.9825679180832793,36.41623022742616,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,12,49,98,0.9999305051353071,9.546889330464696,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,12,10,98,0.9994944758446934,55.943826877042156,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,12,20,98,0.9965844767941293,6549.027615571706,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,12,30,98,0.99551192095661,7835.075610552238,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,12,41,98,0.9976129413174449,1099.7348847207122,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,12,42,98,0.9995092381344098,303.5755351080343,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,12,46,98,0.9976184708333313,851.873899670927,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,12,47,98,0.9928532761639164,4534.096826858266,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,12,48,98,0.9761899038877562,204.92061303043982,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,12,49,98,0.9999399297327252,33.389626491216035,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,12,10,98,0.998944064137677,9.060595149579525,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,12,20,98,0.9921304538606293,1012.8826114860025,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,12,30,98,0.9956896656209866,818.4056420568253,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,12,41,98,0.9964188931890123,142.9095804078596,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,12,42,98,0.9986243268179311,53.08090187241308,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,12,46,98,0.9966551181072771,111.02376262080874,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,12,47,98,0.985959940097634,495.91430185996046,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,12,48,98,0.9839666709343,16.752577428563875,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,12,49,98,0.99995548345511,2.1680371924188795,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,12,10,98,0.9981276636214949,10.461384819814398,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,12,20,98,0.992937722237917,710.3025451107321,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,12,30,98,0.995355391324068,693.588604471304,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,12,41,98,0.997587454210376,98.32911851446748,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,12,42,98,0.99811654135497,55.89247501709219,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,12,46,98,0.9959122108800347,109.72975233145034,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,12,47,98,0.9829614460063724,517.5566226502777,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,12,48,98,0.9777718147852205,16.243951804412102,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,12,49,98,0.9999309113704485,2.7068285251215722,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01009,12,10,98,0.9986140310997237,19.90925082492139,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01009,12,20,98,0.9927838095962771,1574.5238650004856,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01009,12,30,98,0.995331309754778,1545.4600258443465,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01009,12,41,98,0.9973362917076558,235.724998379185,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
