geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,14,1,98,0.9921367913886485,2192.947469035535,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,14,2,98,0.9973240389786311,1152.2947349691106,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,14,3,98,0.9998965709377469,10.47643881544227,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01001,14,5,98,0.994465109146223,4.59314612403322,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,14,1,98,0.9901799158479205,12860.816422123156,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,14,2,98,0.9970125968798251,5125.085796077824,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,14,3,98,0.9999074612219041,46.87339746060587,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,14,5,98,0.9937428744138523,24.909415839996214,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,14,1,98,0.9920232429334381,1214.3622612494673,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,14,2,98,0.99493238078954,611.86697347245,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,14,3,98,0.999916663791496,4.764122032694576,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,14,5,98,0.9942799811476454,2.5290937741379387,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,14,1,98,0.99433268127617,803.4679265551052,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,14,2,98,0.9937985566621704,618.3360815825434,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,14,3,98,0.9999070910435176,4.388732716707317,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,14,5,98,0.9962163368227471,1.6787362863807453,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01009,14,1,98,0.9945368570376409,1739.3809621979121,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01009,14,2,98,0.9963825451031367,1273.894790433097,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01009,14,3,98,0.9998925426347917,10.933789148287511,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01009,14,5,98,0.9963398168686232,3.6792154706706457,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01011,14,1,98,0.9942131271871814,409.3863838763146,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01011,14,2,98,0.993900784739083,305.89120150459064,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01011,14,3,98,0.9999078270071492,2.185857769969947,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01011,14,5,98,0.9961089116133894,0.8564180663391415,3,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01013,14,1,98,0.9921162143429556,1903.947082537031,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01013,14,2,98,0.997913869463988,1194.2664592724595,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
