geoid,by,pollutant,adjr,sigma,df.residual,formula
d01001,16,98,0.9709590478144754,5550.845798378528,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01003,16,98,0.9806370624964241,20793.411617506656,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01005,16,98,0.9503823678513872,3207.0856995685062,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01007,16,98,0.9445635293887817,2907.879379932996,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01009,16,98,0.9505897196610431,6941.764164766949,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01011,16,98,0.9450073309919254,1452.0597706430988,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01013,16,98,0.971697396539542,5902.815436196448,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01015,16,98,0.9682701558137579,9262.293485305074,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01017,16,98,0.9653851790638405,3769.473820066796,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01019,16,98,0.9222812702951486,3800.7035270303268,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01021,16,98,0.9701477612129634,7163.416678462706,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01023,16,98,0.9217489941838768,2430.954339320245,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01025,16,98,0.9219247697826805,4409.414840683369,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01027,16,98,0.9222044467547046,1806.7168862912145,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01029,16,98,0.9637963868090265,5466.456644372774,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01031,16,98,0.9495333646719576,5146.590133039037,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01033,16,98,0.9500226285318565,6899.1865733312625,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01035,16,98,0.9556174503070617,5428.281145267953,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01037,16,98,0.926214879456422,2839.5568742161527,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01039,16,98,0.945860791207949,5023.56931360019,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01041,16,98,0.9211830603339343,2652.1816170578704,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
d01043,16,98,0.9649667280288353,9918.564170570371,6,"poly(vmt, 2) + vehicles + poly(sourcehours, 2) + starts + year"
