geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,15,2,98,0.8797371237046132,5051.721575768372,8,"poly(vmt, 3) + year + vmt * year"
d01001,15,3,98,0.8422269985574315,3776.7921660648285,8,"poly(vmt, 3) + year + vmt * year"
d01001,15,4,98,0.8656383374115321,403.79458755892887,8,"poly(vmt, 3) + year + vmt * year"
d01001,15,5,98,0.8509988319889377,3300.71572285239,8,"poly(vmt, 3) + year + vmt * year"
d01003,15,2,98,0.8794497932331026,15178.459889076734,8,"poly(vmt, 3) + year + vmt * year"
d01003,15,3,98,0.8418128503919007,14657.584305300814,8,"poly(vmt, 3) + year + vmt * year"
d01003,15,4,98,0.8652549177261213,2477.4323631193315,8,"poly(vmt, 3) + year + vmt * year"
d01003,15,5,98,0.8502732849655767,26294.722912960813,8,"poly(vmt, 3) + year + vmt * year"
d01005,15,3,98,0.8420645537168577,3421.77083136692,8,"poly(vmt, 3) + year + vmt * year"
d01005,15,5,98,0.8507712674900194,2358.6794520033072,8,"poly(vmt, 3) + year + vmt * year"
d01007,15,3,98,0.8422702045603543,4227.718386611763,8,"poly(vmt, 3) + year + vmt * year"
d01007,15,5,98,0.8511086148944724,712.5099005962215,8,"poly(vmt, 3) + year + vmt * year"
d01009,15,2,98,0.8797990047251676,2971.2838054790404,8,"poly(vmt, 3) + year + vmt * year"
d01009,15,3,98,0.8423053499825746,8110.48321526703,8,"poly(vmt, 3) + year + vmt * year"
d01009,15,5,98,0.8511387181764394,1038.36589904787,8,"poly(vmt, 3) + year + vmt * year"
d01011,15,3,98,0.8422218820499661,2081.6734377190637,8,"poly(vmt, 3) + year + vmt * year"
d01011,15,5,98,0.851005215035638,396.8797125607186,8,"poly(vmt, 3) + year + vmt * year"
d01013,15,2,98,0.8797090875168225,8564.354033658214,8,"poly(vmt, 3) + year + vmt * year"
d01013,15,3,98,0.8421631836184602,2420.678112962328,8,"poly(vmt, 3) + year + vmt * year"
d01013,15,4,98,0.8655905789903489,848.9204372094645,8,"poly(vmt, 3) + year + vmt * year"
d01013,15,5,98,0.8509010879433347,1043.4265678157778,8,"poly(vmt, 3) + year + vmt * year"
d01015,15,2,98,0.879789339399761,630.6978672277903,8,"poly(vmt, 3) + year + vmt * year"
d01015,15,3,98,0.8422922154689342,6261.306582326818,8,"poly(vmt, 3) + year + vmt * year"
d01015,15,4,98,0.8657493026584053,1801.7084008064405,8,"poly(vmt, 3) + year + vmt * year"
d01015,15,5,98,0.8511521691553953,11828.482798393861,8,"poly(vmt, 3) + year + vmt * year"
d01017,15,2,98,0.8797814240784229,1694.2434783125734,8,"poly(vmt, 3) + year + vmt * year"
d01017,15,3,98,0.8423190490402231,3251.8441132527346,8,"poly(vmt, 3) + year + vmt * year"
d01017,15,4,98,0.8657488321140576,1001.7618279978482,8,"poly(vmt, 3) + year + vmt * year"
d01017,15,5,98,0.8511633836601142,1943.6531870761787,8,"poly(vmt, 3) + year + vmt * year"
d01019,15,3,98,0.8422852454994362,5414.237583657406,8,"poly(vmt, 3) + year + vmt * year"
d01021,15,2,98,0.8797940327182793,7870.355054330746,8,"poly(vmt, 3) + year + vmt * year"
d01021,15,3,98,0.8423241535336468,4885.540105244494,8,"poly(vmt, 3) + year + vmt * year"
d01021,15,4,98,0.8657378199741924,1304.64802352716,8,"poly(vmt, 3) + year + vmt * year"
d01021,15,5,98,0.8511677515073767,1480.419781317568,8,"poly(vmt, 3) + year + vmt * year"
d01023,15,3,98,0.8421150033529414,3453.0452408347655,8,"poly(vmt, 3) + year + vmt * year"
d01025,15,3,98,0.8420827159834118,6269.111618552146,8,"poly(vmt, 3) + year + vmt * year"
d01025,15,5,98,0.8507566659690668,2.049342003308065,8,"poly(vmt, 3) + year + vmt * year"
d01027,15,3,98,0.8423022827252703,2572.322522212873,8,"poly(vmt, 3) + year + vmt * year"
d01029,15,2,98,0.8798179546069412,7709.983636878026,8,"poly(vmt, 3) + year + vmt * year"
d01029,15,3,98,0.8423088181629321,2632.1702162787997,8,"poly(vmt, 3) + year + vmt * year"
d01031,15,3,98,0.8419643245151144,5774.15477168769,8,"poly(vmt, 3) + year + vmt * year"
d01031,15,5,98,0.8504989614184102,3429.972927461679,8,"poly(vmt, 3) + year + vmt * year"
d01033,15,3,98,0.842302115738946,7531.171104751314,8,"poly(vmt, 3) + year + vmt * year"
d01033,15,5,98,0.8511716410236791,4852.970185716501,8,"poly(vmt, 3) + year + vmt * year"
d01035,15,2,98,0.8796210449978368,6301.320210826755,8,"poly(vmt, 3) + year + vmt * year"
d01035,15,3,98,0.8420222475955773,3080.211535486381,8,"poly(vmt, 3) + year + vmt * year"
d01037,15,3,98,0.8423103101765405,4117.12780703635,8,"poly(vmt, 3) + year + vmt * year"
d01037,15,5,98,0.8511841784283692,36.25813811894386,8,"poly(vmt, 3) + year + vmt * year"
d01039,15,3,98,0.8419297149091198,6988.114279693698,8,"poly(vmt, 3) + year + vmt * year"
d01039,15,5,98,0.8504855976203318,1669.707610447278,8,"poly(vmt, 3) + year + vmt * year"
d01041,15,3,98,0.8421211931146583,3753.663993111633,8,"poly(vmt, 3) + year + vmt * year"
d01043,15,2,98,0.8797879325352245,5148.221369654096,8,"poly(vmt, 3) + year + vmt * year"
d01043,15,3,98,0.8423153756414934,8551.874094105977,8,"poly(vmt, 3) + year + vmt * year"
d01043,15,4,98,0.8657205405572013,2491.4059204775617,8,"poly(vmt, 3) + year + vmt * year"
d01043,15,5,98,0.851117059463421,4364.400159224749,8,"poly(vmt, 3) + year + vmt * year"
d01045,15,3,98,0.8419743395149792,4306.594705617353,8,"poly(vmt, 3) + year + vmt * year"
d01045,15,5,98,0.8505000697198821,6408.242734625959,8,"poly(vmt, 3) + year + vmt * year"
