type,geoid,level,year,state,name,fullname,division,pop,pop_women,pop_age_65_plus,pop_white,pop_black,pop_natam,pop_asian,pop_pacific,pop_hisplat,median_income,median_monthly_housing_cost,level_plural,level_singular,level_upper,area,sublevel,geoid_upper
poi,36109,county,1990,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,100612,0.5058641116367829,0.10480857154216196,0.8335288037212261,0.03840496163479505,0.0028624816125313,0.08992963066035861,6.361070250069575e-4,0.04086987635669701,48655,1054,counties,county,NY,County,muni,36
poi,36109,county,2000,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,100612,0.5058641116367829,0.10480857154216196,0.8335288037212261,0.03840496163479505,0.0028624816125313,0.08992963066035861,6.361070250069575e-4,0.04086987635669701,48655,1054,counties,county,NY,County,muni,36
poi,36109,county,2005,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,100612,0.5058641116367829,0.10480857154216196,0.8335288037212261,0.03840496163479505,0.0028624816125313,0.08992963066035861,6.361070250069575e-4,0.04086987635669701,48655,1054,counties,county,NY,County,muni,36
poi,36109,county,2010,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,100612,0.5058641116367829,0.10480857154216196,0.8335288037212261,0.03840496163479505,0.0028624816125313,0.08992963066035861,6.361070250069575e-4,0.04086987635669701,48655,1054,counties,county,NY,County,muni,36
poi,36109,county,2015,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,103855,0.5077271195416687,0.11816474892879496,0.8126041115016128,0.04154831255115305,0.00358191709595108,0.1004573684463916,9.628809397717972e-6,0.04639160367820519,52624,1054,counties,county,NY,County,muni,36
poi,36109,county,2020,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,102237,0.5057268894822814,0.14319669004372193,0.7958762483249704,0.04093429971536724,0.00120308694503946,0.09441787219891036,3.9124778700470474e-4,0.05226092314915344,61361,1189,counties,county,NY,County,muni,36
poi,36109,county,2025,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,102237,0.5057268894822814,0.14319669004372193,0.7958762483249704,0.04093429971536724,0.00120308694503946,0.09441787219891036,3.9124778700470474e-4,0.05226092314915344,61361,1189,counties,county,NY,County,muni,36
poi,36109,county,2030,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,102237,0.5057268894822814,0.14319669004372193,0.7958762483249704,0.04093429971536724,0.00120308694503946,0.09441787219891036,3.9124778700470474e-4,0.05226092314915344,61361,1189,counties,county,NY,County,muni,36
poi,36109,county,2035,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,102237,0.5057268894822814,0.14319669004372193,0.7958762483249704,0.04093429971536724,0.00120308694503946,0.09441787219891036,3.9124778700470474e-4,0.05226092314915344,61361,1189,counties,county,NY,County,muni,36
poi,36109,county,2040,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,102237,0.5057268894822814,0.14319669004372193,0.7958762483249704,0.04093429971536724,0.00120308694503946,0.09441787219891036,3.9124778700470474e-4,0.05226092314915344,61361,1189,counties,county,NY,County,muni,36
poi,36109,county,2045,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,102237,0.5057268894822814,0.14319669004372193,0.7958762483249704,0.04093429971536724,0.00120308694503946,0.09441787219891036,3.9124778700470474e-4,0.05226092314915344,61361,1189,counties,county,NY,County,muni,36
poi,36109,county,2050,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,102237,0.5057268894822814,0.14319669004372193,0.7958762483249704,0.04093429971536724,0.00120308694503946,0.09441787219891036,3.9124778700470474e-4,0.05226092314915344,61361,1189,counties,county,NY,County,muni,36
poi,36109,county,2055,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,102237,0.5057268894822814,0.14319669004372193,0.7958762483249704,0.04093429971536724,0.00120308694503946,0.09441787219891036,3.9124778700470474e-4,0.05226092314915344,61361,1189,counties,county,NY,County,muni,36
poi,36109,county,2060,NY,Tompkins,"Tompkins County, NY",Middle Atlantic,102237,0.5057268894822814,0.14319669004372193,0.7958762483249704,0.04093429971536724,0.00120308694503946,0.09441787219891036,3.9124778700470474e-4,0.05226092314915344,61361,1189,counties,county,NY,County,muni,36
upp,36,state,1990,NY,NY,New York,Middle Atlantic,19229752,0.5163300077920921,0.1328840850365621,0.6637840155192849,0.15551895833081986,0.00347773595832125,0.07240759007188444,2.7738267243384104e-4,0.1710308068455589,55603,1233,states,state,the US,State,county,00
upp,36,state,2000,NY,NY,New York,Middle Atlantic,19229752,0.5163300077920921,0.1328840850365621,0.6637840155192849,0.15551895833081986,0.00347773595832125,0.07240759007188444,2.7738267243384104e-4,0.1710308068455589,55603,1233,states,state,the US,State,county,00
upp,36,state,2005,NY,NY,New York,Middle Atlantic,19229752,0.5163300077920921,0.1328840850365621,0.6637840155192849,0.15551895833081986,0.00347773595832125,0.07240759007188444,2.7738267243384104e-4,0.1710308068455589,55603,1233,states,state,the US,State,county,00
upp,36,state,2010,NY,NY,New York,Middle Atlantic,19229752,0.5163300077920921,0.1328840850365621,0.6637840155192849,0.15551895833081986,0.00347773595832125,0.07240759007188444,2.7738267243384104e-4,0.1710308068455589,55603,1233,states,state,the US,State,county,00
upp,36,state,2015,NY,NY,New York,Middle Atlantic,19673174,0.5149841606646696,0.14336451250825108,0.6457848133707352,0.15606998646990058,0.00380177596151998,0.07981543801727164,3.296366920762252e-4,0.1839895280751342,59269,1233,states,state,the US,State,county,00
