geoid,by,type,pollutant,adjr,sigma,df.residual,formula
d01001,15,2,98,0.5089798151612005,10207.591603099647,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01001,15,3,98,0.40996838204272656,7303.72453639504,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01001,15,4,98,0.3552824823761469,884.519769563822,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01001,15,5,98,0.3901371810501443,6677.737821153384,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01003,15,2,98,0.5551845988013415,29156.38225148327,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01003,15,3,98,0.48078970939490306,26555.130881254558,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01003,15,4,98,0.36658084302131844,5371.442629793958,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01003,15,5,98,0.4744516092017377,49263.504776654336,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01005,15,2,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01005,15,3,98,0.42691242169907573,6518.108891405027,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01005,15,4,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01005,15,5,98,0.4143470847525932,4672.645710956006,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01007,15,2,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01007,15,3,98,0.3872343424046669,8332.90420743362,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01007,15,4,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01007,15,5,98,0.3174596516187915,1525.5283514086345,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01009,15,2,98,0.46651625715110434,6259.659338519429,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01009,15,3,98,0.39360672476549075,15904.332193930655,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01009,15,4,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01009,15,5,98,0.305164867123102,2243.367503815271,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01011,15,2,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01011,15,3,98,0.38414131365284565,4112.725753036207,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01011,15,4,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01011,15,5,98,0.3229708795595386,846.0130069760339,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01013,15,2,98,0.47874785721047886,17827.97961714013,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01013,15,3,98,0.3828545990945088,4786.594480149472,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01013,15,4,98,0.32734371953797614,1899.103939386132,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01013,15,5,98,0.33365369823169244,2205.8432575616566,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01015,15,2,98,0.5867530128230256,1169.3774600816091,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01015,15,3,98,0.5326698244928022,10778.301207336346,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01015,15,4,98,0.3826620310725446,3863.5605487473254,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01015,15,5,98,0.5317426149279523,20979.74017635859,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01017,15,2,98,0.5309436341187426,3346.5903177760615,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01017,15,3,98,0.43850889634422774,6136.370067257974,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01017,15,4,98,0.37589174643094436,2159.9087593427766,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01017,15,5,98,0.4276945046331776,3811.3412807648024,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01019,15,2,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01019,15,3,98,0.4207663949207091,10375.953629181031,8,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01019,15,4,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
d01019,15,5,98,NA,0,10,sqrt(vmt) + sqrt(vehicles) + sqrt(sourcehours) + sqrt(starts) + year
