id,adjr,sigma,df.residual,formula,geoid,pollutant,by,type
1,0.9918827262313232,31.72132027349254,9,"year + poly(vmt, 3)",36109,98,8,42
2,0.9914593940605112,32.53797342423908,10,"year + poly(vmt, 2)",36109,98,8,42
3,0.9786097372664115,51.49371411227309,11,"year + poly(vmt, 1)",36109,98,8,42
