geoid,by,pollutant,adjr,sigma,df.residual,formula
d01081,16,98,0.9962739985611546,4021.48610263306,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01083,16,98,0.9940678513612773,4555.852585414122,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01085,16,98,0.9628224483203887,4655.461848068228,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01087,16,98,0.9942484806676618,2378.8507940224376,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01089,16,98,0.9928397872252201,12376.840391974882,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01091,16,98,0.9934538753039543,1048.0920919268108,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01093,16,98,0.9535350963597959,5790.215346875114,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01095,16,98,0.9958547284128985,2251.1902259868402,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01097,16,98,0.9929738451405956,14753.419861298733,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01099,16,98,0.973484975733861,1890.9984104181365,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01101,16,98,0.9925474775098033,9763.741702080171,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01103,16,98,0.9947260727085896,4343.216038910818,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01105,16,98,0.9749245481448869,767.9500160453211,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01107,16,98,0.9739407063632896,1911.946693080557,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01109,16,98,0.9940835408861777,1655.463587804519,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01111,16,98,0.9734155458810023,1684.4337163222776,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01113,16,98,0.9945426316809732,2220.4859750068126,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01115,16,98,0.9938300232897354,4778.232037087227,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01117,16,98,0.9922642286320933,7720.956304031149,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01119,16,98,0.9610285371444313,4445.252068001233,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01121,16,98,0.9940003938228368,3836.359662308895,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01123,16,98,0.9938434388252582,1762.8291384065892,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01125,16,98,0.9950404748984432,8218.873735346639,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01127,16,98,0.9936656155591936,3239.869448637122,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01129,16,98,0.9739690326405508,2237.273867406471,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01131,16,98,0.9740127328298278,1276.5721675163181,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d01133,16,98,0.9749016420031409,1669.0451437033546,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02013,16,98,0.9822270700286259,3.4360939953711527,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02016,16,98,0.9741302151468026,45.654789731410474,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02020,16,98,0.9934016825736214,6095.695983208002,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02050,16,98,0.974695514007691,105.91139136978721,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02068,16,98,0.9769124097481993,588.0733075028218,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02070,16,98,0.976028663475176,65.55161629877215,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02090,16,98,0.993604089751827,2242.117408321514,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02100,16,98,0.9749020992358535,63.0083804012575,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02105,16,98,0.9752109138000302,26.458138111483674,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02110,16,98,0.9923421421606089,732.4796994017754,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02122,16,98,0.9928543380099654,2732.995005345371,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02130,16,98,0.9913090233943268,236.44222706549797,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02150,16,98,0.9962804397421653,122.6512417329241,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02170,16,98,0.9951830072361922,2463.773768590569,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02180,16,98,0.9759981334639245,153.70403069754255,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02185,16,98,0.9730008662459118,152.86335932815922,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02188,16,98,0.9745915437604833,19.11854185139077,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02195,16,98,0.9729424780232622,75.4600093872353,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02198,16,98,0.9740155326191042,187.20202834425177,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02220,16,98,0.9912947054501574,111.32399597738738,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02230,16,98,0.9791624810336521,26.73309154727156,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02240,16,98,0.9663383209437542,923.8907375798864,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02261,16,98,0.9683973160025002,1329.8040397425382,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02275,16,98,0.9749747002124776,33.745225970128836,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02282,16,98,0.9746170974623445,15.107806256963022,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d02290,16,98,0.9609222691711727,630.5242534470846,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
d04001,16,98,0.9882394792700552,6347.232923176917,4,"poly(vmt, 2) + poly(vehicles, 2) + poly(sourcehours, 2) + poly(starts, 2) + year"
